sp;regexp
Ё-Мобайл;98958536[8-9]XXX
ФЕБО Телеком;98958297[5-7]XXX
ФЕБО Телеком;98958538[7-9]XXX
Айконнект;98958534XXXX
Экспресс ТелеКом;98958880XXXX
Содействие развитию и использованию навигационных технологий;98941810[0-4]XXX
Мобильные ТелеСистемы;9891000[0-5]XXXX
Мобильные ТелеСистемы;9891000[8-9]XXXX
Мобильные ТелеСистемы;98910013XXXX
Мобильные ТелеСистемы;98910015XXXX
Мобильные ТелеСистемы;98910019XXXX
Мобильные ТелеСистемы;989100[4-5][0-8]XXXX
Мобильные ТелеСистемы;9891008[1-9]XXXX
Мобильные ТелеСистемы;989104XXXXXX
Мобильные ТелеСистемы;98915[0-4]XXXXXX
Мобильные ТелеСистемы;98916XXXXXXX
Мобильные ТелеСистемы;989175XXXXXX
Мобильные ТелеСистемы;9891910XXXXX
Мобильные ТелеСистемы;98919139XXXX
Мобильные ТелеСистемы;9891941[0-1]XXXX
Мобильные ТелеСистемы;9891972XXXXX
Мобильные ТелеСистемы;989197[6-7]XXXXX
Мобильные ТелеСистемы;98919784XXXX
Мобильные ТелеСистемы;98919786XXXX
Мобильные ТелеСистемы;989199[6-7]0XXXX
Мобильные ТелеСистемы;9891999XXXXX
Мобильные ТелеСистемы;98985[0-2][0-1][0-2]XXXX
Мобильные ТелеСистемы;98985[2-3][1-2]XXXXX
Мобильные ТелеСистемы;989853[3-6]XXXXX
Мобильные ТелеСистемы;98985[3-4][8-9][0-2]XXXX
Мобильные ТелеСистемы;98985[5-6]00XXXX
Мобильные ТелеСистемы;98985604XXXX
Мобильные ТелеСистемы;989856[1-4]XXXXX
Мобильные ТелеСистемы;98985655[0-1]XXX
Мобильные ТелеСистемы;9898566XXXXX
Мобильные ТелеСистемы;98985[6-7][0-8]0XXXX
Мобильные ТелеСистемы;98985704XXXX
Мобильные ТелеСистемы;98985[7-8][1-9]XXXXX
Мобильные ТелеСистемы;98985904XXXX
Мобильные ТелеСистемы;989859[1-2]XXXXX
Мобильные ТелеСистемы;989859[6-7]XXXXX
Мобильные ТелеСистемы;9898599XXXXX
Интернод;98958100XXXX
Интернод;9895811[1-2]XXXX
Интернод;98999333XXXX
Интернод;98999444XXXX
Сигма Телеком;98958537[4-6][0-1][0-3][0-4]
КантриКом;98958888XXXX
Центральный телеграф;98958519XXXX
Вымпел-Коммуникации;989030[0-1]XXXXX
