time;[248];[184];[164];[168];[216];[256];[200];[280];[176];[272];[240];[208];[232];[264];[224];[192];[SUM]
0;59179;58917;58982;58720;58851;59048;58851;58786;57999;57868;57868;57868;58851;58917;58851;58982;938541
1;60555;60359;58458;59769;60293;58458;59376;60359;55575;55378;55640;55837;59441;59441;58130;58130;935199
2;58327;58327;59310;54985;58196;59179;54723;58327;53477;53608;53477;53608;54788;55181;58720;58917;903152
3;57213;56754;55837;56623;57344;55575;57541;57344;53871;54133;54198;54133;56492;56295;55902;55378;894632
4;58786;58589;58065;56558;58655;57999;56623;58589;55312;55181;55181;55247;56492;56754;58130;58065;914227
5;58720;58458;58393;56164;58524;58393;56033;58524;54788;54788;54788;54591;56361;56295;58327;58327;911475
6;59048;59245;58065;58851;58917;57803;58786;59113;56361;56361;56361;56033;59179;58851;57934;57934;928842
7;58851;59048;57410;56689;58720;57410;56492;59113;53150;55509;55706;55312;55247;54723;57606;57475;908460
8;58130;58130;57606;56623;57213;58196;56492;58262;53281;55247;54854;55640;56361;56492;58393;58196;909115
9;64684;39780;60883;58196;64946;61145;57868;64618;56492;56820;53936;56361;57803;58196;60948;60948;933626
10;58589;55247;58589;58065;58130;58655;57934;58262;56558;56623;54657;56754;58327;57999;58655;58589;921633
